Conversion_Date,Project_Name,Consolidation_Name,Development_Name,Total_Units,Total_Repair_Costs_20yr_PNA,Status,Developers,General_Contractor,Property_Manager,Social_Service_Provider
2026,Murphy Private,Throggs Neck,RANDALL AVENUE-BALCOM AVENUE,202,$121.2M,Planning & Engagement,Settlement Housing Fund; Bronx Pro Group LLC (MWBE); MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,
2026,Hernandez,Gompers,HERNANDEZ,149,$61.3M,Planning & Engagement,Essence Development (MWBE); MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,
2026,Seward Park,Gompers,SEWARD PARK EXTENSION,360,$176.6M,Planning & Engagement,Essence Development (MWBE); MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,
2026,Meltzer Tower,Gompers,MELTZER TOWER,231,$80.2M,Planning & Engagement,Essence Development (MWBE); MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,
2026,West Tremont,Sedgwick,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,148,$58.9M,Planning & Engagement,The Arker Companies; Dabar Development Partners (MWBE); SBV RE Investments LLC,Renewal Chateau JV LLC,Progressive Management of NY LLC,
2026,Fulton and Elliott-Chelsea,Fulton - Phase I,CHELSEA ADDITION,180,$85.0M,Planning & Engagement,Essence Development (MWBE); Related Companies,Related Companies,Related Affordable Management,
2026,Fulton and Elliott-Chelsea,Fulton - Phase I,FULTON,36,$17.8M,Planning & Engagement,Essence Development (MWBE); Related Companies,Related Companies,Related Affordable Management,
2026,Fulton and Elliott-Chelsea,Elliott-Chelsea - Phase I,CHELSEA ADDITION,60,$30M,Planning & Engagement,Essence Development (MWBE); Related Companies,Related Companies,Related Affordable Management,
2026,Fulton and Elliott-Chelsea,Elliott-Chelsea - Phase I,CHELSEA,223,$94M,Planning & Engagement,Essence Development (MWBE); Related Companies,Related Companies,Related Affordable Management,
2026,Fulton and Elliott-Chelsea,Elliott-Chelsea - Phase I,ELLIOTT,162,$70M,Planning & Engagement,Essence Development (MWBE); Related Companies,Related Companies,Related Affordable Management,
2029,Fulton and Elliott-Chelsea,Fulton - Phase II,FULTON,764,$361M,Planning & Engagement,Essence Development (MWBE); Related Companies,Related Companies,Related Affordable Management,
2030,Fulton and Elliott-Chelsea,Elliott-Chelsea - Phase II,CHELSEA,202,$85M,Planning & Engagement,Essence Development (MWBE); Related Companies,Related Companies,Related Affordable Management,
2030,Fulton and Elliott-Chelsea,Elliott-Chelsea - Phase II,ELLIOTT,429,$185M,Planning & Engagement,Essence Development (MWBE); Related Companies,Related Companies,Related Affordable Management,
TBD,Clason Point Gardens,Sack Wern,CLASON POINT GARDENS,401,$239.7M,Planning & Engagement,,,,
2027,Howard,Howard,HOWARD,815,$382M,Planning & Engagement,,,,
2028,Claremont Consolidated,Claremont Consolidated,1162-1176 WASHINGTON AVENUE,66,$32M,Planning & Engagement,,,,
2028,Claremont Consolidated,Claremont Consolidated,CLAREMONT REHAB (GROUP 4),57,$27M,Planning & Engagement,,,,
2028,Claremont Consolidated,Claremont Consolidated,CLAREMONT REHAB (GROUP 5),135,$72M,Planning & Engagement,,,,
2028,Claremont Consolidated,Claremont Consolidated,COLLEGE AVENUE-EAST 165TH STREET,95,$32M,Planning & Engagement,,,,
2028,Atlantic Terminal,Wyckoff Gardens,ATLANTIC TERMINAL SITE 4B,300,$108M,Planning & Engagement,,,,
2028,Marcus Garvey,Marcus Garvey,BROWN,200,$76M,Planning & Engagement,,,,
2028,Marcus Garvey,Marcus Garvey,GARVEY (GROUP A),321,$170M,Planning & Engagement,,,,
2028,"Unity Plaza, Long Island Baptist & East New York City Line",Cypress Hills,EAST NEW YORK CITY LINE,66,$62M,Planning & Engagement,,,,
2028,"Unity Plaza, Long Island Baptist & East New York City Line",Unity Plaza,LONG ISLAND BAPTIST HOUSES,232,$97M,Planning & Engagement,,,,
2028,"Unity Plaza, Long Island Baptist & East New York City Line",Unity Plaza,"UNITY PLAZA (SITES 17,24,25A)",167,$81M,Planning & Engagement,,,,
2028,"Unity Plaza, Long Island Baptist & East New York City Line",Unity Plaza,UNITY PLAZA (SITES 4-27),462,$216M,Planning & Engagement,,,,
2028,"De Hostos, Douglass & Robbins Plaza",De Hostos Apartments,REHAB PROGRAM (WISE REHAB),40,$21M,Planning & Engagement,,,,
2028,"De Hostos, Douglass & Robbins Plaza",De Hostos Apartments,DE HOSTOS APARTMENTS,223,$91M,Planning & Engagement,,,,
2028,"De Hostos, Douglass & Robbins Plaza",De Hostos Apartments,THOMAS APARTMENTS,87,$37M,Planning & Engagement,,,,
2028,"De Hostos, Douglass & Robbins Plaza",De Hostos Apartments,WSUR (BROWNSTONES),236,$178M,Planning & Engagement,,,,
2028,"De Hostos, Douglass & Robbins Plaza",De Hostos Apartments,WSUR (SITE A) 120 WEST 94TH STREET,70,$37M,Planning & Engagement,,,,
2028,"De Hostos, Douglass & Robbins Plaza",De Hostos Apartments,WSUR (SITE B) 74 WEST 92ND STREET,168,$72M,Planning & Engagement,,,,
2028,"De Hostos, Douglass & Robbins Plaza",De Hostos Apartments,WSUR (SITE C) 589 AMSTERDAM AVENUE,158,$66M,Planning & Engagement,,,,
2028,"De Hostos, Douglass & Robbins Plaza",Isaacs,ROBBINS PLAZA,150,$52M,Planning & Engagement,,,,
2028,"De Hostos, Douglass & Robbins Plaza",Kraus Management (MB 1),154 WEST 84TH STREET,35,$18M,Planning & Engagement,,,,
2028,"De Hostos, Douglass & Robbins Plaza",Kraus Management (MB 1),REHAB PROGRAM (DOUGLASS REHABS),112,$61M,Planning & Engagement,,,,
2028,Baisley Park Consolidated,Baisley Park,BAISLEY PARK,386,$204M,Planning & Engagement,,,,
2028,Baisley Park Consolidated,Baisley Park,CONLON LIHFE TOWER,216,$72M,Planning & Engagement,,,,
2028,Baisley Park Consolidated,Baisley Park,INTERNATIONAL TOWER,159,$58M,Planning & Engagement,,,,
2028,Baisley Park Consolidated,Baisley Park,SHELTON HOUSE,155,$57M,Planning & Engagement,,,,
2028,Stapleton & New Lane Area,South Beach,NEW LANE AREA,277,$98M,Planning & Engagement,,,,
2028,Stapleton & New Lane Area,Stapleton,STAPLETON,693,$451M,Planning & Engagement,,,,
TBD,Red Hook West,Red Hook West,RED HOOK WEST,1464,$762.3M,Planning & Engagement,,,,
